timestamp_utc,event_type,model_name,model_format,vertex_count,file_size_bytes,interaction_type,input_to_camera_change_ms,viewport_width,viewport_height,user_agent
2026-03-22T07:50:39.775643+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:50:40.380410+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,1.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:50:41.016333+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,4.7,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:50:41.992646+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,0.5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:50:42.636275+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,4.3,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:50:43.122234+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,1.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:50:43.576391+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,5.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:50:44.021171+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,1.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:50:44.416048+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,7.2,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:50:44.840682+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,4.9,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
